종목코드,종목명,연도,분기,사용가능일,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,ROE,주식수,EPS,BPS
005930,삼성전자,2016,1Q,2016-05-15,49782252000000.0,6675812000000.0,5252803000000.0,241239789000000.0,62913603000000.0,178326186000000.0,35.28006986029522,13.410024118635693,10.55155761133506,2.9456150651929494,,,
005930,삼성전자,2016,2Q,2016-08-15,50937120000000.0,8143950000000.0,5847393000000.0,243960673000000.0,62118157000000.0,181842516000000.0,34.160414388459074,15.988241973633373,11.479630179326982,3.2156357757390466,,,
005930,삼성전자,2016,3Q,2016-11-15,47815633000000.0,5200089000000.0,4537855000000.0,244471456000000.0,64935077000000.0,179536379000000.0,36.168200206377115,10.875290514296863,9.490316692032499,2.527540671854588,,,
005930,삼성전자,2016,4Q,2017-04-01,201866745000000.0,29240672000000.0,22726092000000.0,262174324000000.0,69211291000000.0,192963033000000.0,35.867642586235675,14.485135726540793,11.257967229817869,11.777433038171617,140679337.0,161545.34478649127,1371651.566711606
005930,삼성전자,2017,1Q,2017-05-15,50547526000000.0,9898361000000.0,7684354000000.0,264217372000000.0,74399417000000.0,189817955000000.0,39.19514199802648,19.582285787834603,15.20223561485482,4.04827562281977,140679337.0,54623.18890513395,1349295.2060187773
005930,삼성전자,2017,2Q,2017-08-15,61000537000000.0,14066547000000.0,11053851000000.0,277589436000000.0,76883688000000.0,200705748000000.0,38.306669722284184,23.05971011369949,18.120907689714272,5.507490996221991,130668494.0,84594.61543958714,1535991.89717454
005930,삼성전자,2017,3Q,2017-11-15,62048901000000.0,14533159000000.0,11193411000000.0,296578579000000.0,85887328000000.0,210691251000000.0,40.76454413382357,23.422105413277183,18.039660364008704,5.312708025071245,129768494.0,86256.76891958075,1623593.2506082717
005930,삼성전자,2017,4Q,2018-04-01,239575376000000.0,53645038000000.0,42186747000000.0,301752090000000.0,87260662000000.0,214491428000000.0,40.68258709154568,22.391716083542743,17.608966206944405,19.668267116017336,129098494.0,326779.5439968494,1661455.6944405565
005930,삼성전자,2018,1Q,2018-05-15,60563714000000.0,15642170000000.0,11688544000000.0,312473113000000.0,89213233000000.0,223259880000000.0,39.959366187959965,25.8276267535376,19.299582585044238,5.235398316974819,128386494.0,91041.85055477876,1738967.0287281154
005930,삼성전자,2018,2Q,2018-08-15,58482658000000.0,14869035000000.0,11043412000000.0,318688380000000.0,85563535000000.0,233124845000000.0,36.702881239449184,25.424690854509386,18.883225177624453,4.7371235785701,6419324700.0,1720.3385895092672,36316.10113132305
005930,삼성전자,2018,3Q,2018-11-15,65459993000000.0,17574865000000.0,13150715000000.0,337195786000000.0,95092626000000.0,242103160000000.0,39.27773020393455,26.848253711240083,20.089698145858343,5.431864251585976,6419324700.0,2048.613462409839,37714.73968282053
005930,삼성전자,2018,4Q,2019-04-01,243771415000000.0,58886669000000.0,44344857000000.0,339357244000000.0,91604067000000.0,247753177000000.0,36.97392223551587,24.1565111315451,18.191163635818416,17.898804583240523,5969782550.0,7428.21981011687,41501.206270905124
005930,삼성전자,2019,1Q,2019-05-15,52385546000000.0,6233282000000.0,5043585000000.0,345067883000000.0,91852732000000.0,253215151000000.0,36.274579794002925,11.898858513376954,9.627817948103472,1.9918180172402087,5969782550.0,844.8523807621771,42416.143113956474
005930,삼성전자,2019,2Q,2019-08-15,56127104000000.0,6597065000000.0,5180576000000.0,342940134000000.0,85193101000000.0,257747033000000.0,33.05298998339973,11.753795456825992,9.230078929424188,2.0099459302020364,5969782550.0,867.7997827575814,43175.27997732514
005930,삼성전자,2019,3Q,2019-11-15,62003471000000.0,7777892000000.0,6287664000000.0,353385985000000.0,89943741000000.0,263442244000000.0,34.14173051152722,12.544284819151496,10.140825825702564,2.3867333896533314,5969782550.0,1053.248413545649,44129.28641764347
005930,삼성전자,2019,4Q,2020-04-01,230400881000000.0,27768509000000.0,21738865000000.0,352564497000000.0,89684076000000.0,262880421000000.0,34.11592071362362,12.052258168231571,9.435235189052944,8.269488049853663,5969782550.0,3641.483557889391,44035.17528456711
005930,삼성전자,2020,1Q,2020-05-15,55325178000000.0,6447345000000.0,4884926000000.0,357457535000000.0,91069812000000.0,266387723000000.0,34.186940364365064,11.653545877430345,8.829480855895303,1.8337654397083458,5969782550.0,818.2753658255107,44622.68445606951
005930,삼성전자,2020,2Q,2020-08-15,52966142000000.0,8146292000000.0,5555083000000.0,357959499000000.0,88151682000000.0,269807817000000.0,32.6720266966913,15.38018759229245,10.487988723060102,2.058903652891569,5969782550.0,930.5335585464499,45195.58539029198
005930,삼성전자,2020,3Q,2020-11-15,66964160000000.0,12353238000000.0,9360693000000.0,375788742000000.0,99652554000000.0,276136188000000.0,36.08819065757509,18.447536712175587,13.97866112260648,3.389882748725422,5969782550.0,1568.012389328988,46255.65264517047
005930,삼성전자,2020,4Q,2021-04-01,236806988000000.0,35993876000000.0,26407832000000.0,378235718000000.0,102287702000000.0,275948016000000.0,37.06774322305691,15.199668009797076,11.151626995061479,9.56985753432632,5969782550.0,4423.583569220625,46224.13189907562
005930,삼성전자,2021,1Q,2021-05-15,65388503000000.0,9382868000000.0,7141685000000.0,392826274000000.0,118557683000000.0,274268591000000.0,43.22685385436643,14.349415523398662,10.921927666703121,2.6039018809849797,6792669250.0,1051.3812372065665,40377.144964036044
005930,삼성전자,2021,2Q,2021-08-15,63671585000000.0,12566745000000.0,9634486000000.0,384777669000000.0,102453403000000.0,282324266000000.0,36.28926569138765,19.73681823689484,15.131531592938984,3.412560364187753,5969782550.0,1613.8755338751828,47292.2193790794
005930,삼성전자,2021,3Q,2021-11-15,73979187000000.0,15817531000000.0,12293331000000.0,410420718000000.0,113654600000000.0,296766118000000.0,38.29770081771936,21.381055458206102,16.617283182633518,4.14243077439184,5969782550.0,2059.259428134447,49711.37818076807
005930,삼성전자,2021,4Q,2022-04-01,279604799000000.0,51633856000000.0,39907450000000.0,426621158000000.0,121721227000000.0,304899931000000.0,39.921697128885214,18.466727389754137,14.272805811176367,13.08870417553489,5969782550.0,6684.908481298034,51073.87554677347
005930,삼성전자,2022,1Q,2022-05-15,77781498000000.0,14121409000000.0,11324628000000.0,439326959000000.0,124036040000000.0,315290919000000.0,39.340187910708586,18.15522889518019,14.55953959642176,3.591802781988783,5969782550.0,1896.9917086845985,52814.47294927015
005930,삼성전자,2022,2Q,2022-08-15,77203607000000.0,14097045000000.0,11098805000000.0,448040650000000.0,120133986000000.0,327906664000000.0,36.636640602095234,18.259567846357232,14.376018726689804,3.3847451785853306,5969782550.0,1859.164032699985,54927.740039710494
005930,삼성전자,2022,3Q,2022-11-15,76781680000000.0,10852045000000.0,9389198000000.0,470278409000000.0,125371520000000.0,344906889000000.0,36.349381238366625,14.133638388740646,12.228435220484887,2.722241364103342,5969782550.0,1572.787270115894,57775.45264190569
005930,삼성전자,2022,4Q,2023-04-01,302231360000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0,26.405921794911997,14.352127456263968,18.41439518387503,15.688270366610475,5969782550.0,9322.630520269118,59424.208675741465
005930,삼성전자,2023,1Q,2023-05-15,63745371000000.0,640178000000.0,1574600000000.0,454091777000000.0,94292361000000.0,359799416000000.0,26.206924415908446,1.0042737063997949,2.4701401455487644,0.4376327281198255,5969782550.0,263.76170100199045,60270.10414307302
005930,삼성전자,2023,2Q,2023-08-15,60005533000000.0,668547000000.0,1723571000000.0,448000552000000.0,89024926000000.0,358975626000000.0,24.799713281926277,1.1141422575148194,2.8723534544722735,0.4801359410401864,5969782550.0,288.715876259178,60132.11084212774
005930,삼성전자,2023,3Q,2023-11-15,67404652000000.0,2433534000000.0,5844171000000.0,454466447000000.0,90573804000000.0,363892643000000.0,24.89025423907787,3.6103353815994774,8.670278425293256,1.606015156508674,5969782550.0,978.9587729623419,60955.761780636385
005930,삼성전자,2023,4Q,2024-04-01,258935494000000.0,6566976000000.0,15487100000000.0,455905980000000.0,92228115000000.0,363677865000000.0,25.35983733846436,2.536143615753196,5.981064921134373,4.258466486542974,5969782550.0,2594.2485962072437,60919.78425579337
005930,삼성전자,2024,1Q,2024-05-15,71915601000000.0,6606009000000.0,6754708000000.0,470899812000000.0,98983688000000.0,371916124000000.0,26.61451913819149,9.185780148037697,9.392548912995943,1.816191222728488,5969782550.0,1131.483088944337,62299.77740143985
005930,삼성전자,2024,2Q,2024-08-15,74068302000000.0,10443878000000.0,9841345000000.0,485757698000000.0,102231027000000.0,383526671000000.0,26.655519610525342,14.100334040329424,13.286851101298366,2.566013199118556,5969782550.0,1648.5265447398917,64244.66348443462
005930,삼성전자,2024,3Q,2024-11-15,79098731000000.0,9183371000000.0,10100904000000.0,491307317000000.0,105025954000000.0,386281363000000.0,27.188977791817514,11.61001053228022,12.769995007884512,2.614908449517923,5969782550.0,1692.0053478329792,64706.102737360176
005930,삼성전자,2024,4Q,2025-04-01,300870903000000.0,32725961000000.0,34451351000000.0,514531948000000.0,112339878000000.0,402192070000000.0,27.931897811908623,10.877077402197314,11.450542626915306,8.565895145570622,5969782550.0,5770.95576119435,67371.3098645444
005930,삼성전자,2025,1Q,2025-05-15,79140503000000.0,6685272000000.0,8222878000000.0,516376748000000.0,109762479000000.0,406614269000000.0,26.994251645408934,8.447345855256948,10.390227112910818,2.022279744442515,5969782550.0,1377.4166698919378,68112.07369688868
005930,삼성전자,2025,2Q,2025-08-15,74566317000000.0,4676057000000.0,5116435000000.0,504875185000000.0,105313218000000.0,399561967000000.0,26.35716777317797,6.271004373194401,6.861590066195706,1.2805110152038068,5919637922.0,864.3155320336499,67497.70378945822
005930,삼성전자,2025,3Q,2025-11-15,86061747000000.0,12166062000000.0,12225747000000.0,523659586000000.0,110158092000000.0,413501494000000.0,26.64031293681372,14.136433925748685,14.205785295062626,2.956639136109143,5919637922.0,2065.28628289303,69852.49764402736
005930,삼성전자,2025,4Q,2026-04-01,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,29.93712690499687,13.069626776247608,13.5509593357418,10.360920902937423,5919637922.0,7636.751706044632,73707.26769933684
005930,삼성전자,2026,1Q,2026-05-15,133873444000000.0,57232797000000.0,47225272000000.0,633339604000000.0,146703628000000.0,486635976000000.0,30.146482223911864,42.751419019294076,35.27605669127329,9.704435004616263,5919637922.0,7977.729824401918,82207.05090617872
000660,SK하이닉스,2016,1Q,2016-05-15,3655717000000.0,561798000000.0,448026000000.0,29797655000000.0,8332966000000.0,21464689000000.0,38.821741139599084,15.367655647305304,12.255489142075275,2.0872699343559087,728002365.0,615.4183304061107,29484.36712839525
000660,SK하이닉스,2016,2Q,2016-08-15,3940927000000.0,452853000000.0,286132000000.0,29329452000000.0,7628630000000.0,21700822000000.0,35.153645331960234,11.49102736488141,7.260525252053641,1.318530698975366,728002365.0,393.0371847074975,29808.724591162558
000660,SK하이닉스,2016,3Q,2016-11-15,4243645000000.0,725956000000.0,597751000000.0,29166995000000.0,7162415000000.0,22004580000000.0,32.54965557170371,17.10689749024718,14.085791813405693,2.7164844773224486,728002365.0,821.0838710668199,30225.973235677608
000660,SK하이닉스,2016,4Q,2017-04-01,17197975000000.0,3276746000000.0,2960483000000.0,32216026000000.0,8192496000000.0,24023530000000.0,34.101965864300546,19.05309200647169,17.2141371295167,12.323263900018024,728002365.0,4066.584316659466,32999.247193379655
000660,SK하이닉스,2017,1Q,2017-05-15,6289518000000.0,2467599000000.0,1898678000000.0,34319500000000.0,9150581000000.0,25168919000000.0,36.356670701669785,39.23351519146618,30.187973068842478,7.543740754221506,728002365.0,2608.0657031931482,34572.578620675224
000660,SK하이닉스,2017,2Q,2017-08-15,6692278000000.0,3050700000000.0,2468509000000.0,37501577000000.0,9737793000000.0,27763784000000.0,35.07372410043242,45.58537466614507,36.885930321483954,8.891111528601432,728002365.0,3390.7980504980915,38136.94204139021
000660,SK하이닉스,2017,3Q,2017-11-15,8100085000000.0,3737193000000.0,3055529000000.0,40730453000000.0,9825955000000.0,30904498000000.0,31.794578899162186,46.13770102412506,37.72218439683041,9.887004150657939,728002365.0,4197.141584835374,42451.09560873473
000660,SK하이닉스,2017,4Q,2018-04-01,30109434000000.0,13721326000000.0,10642219000000.0,45418464000000.0,11597545000000.0,33820919000000.0,34.291040406087134,45.57151755160858,35.34513136314685,31.46638031923378,728002365.0,14618.385202635984,46457.15539674105
000660,SK하이닉스,2018,1Q,2018-05-15,8719691000000.0,4367338000000.0,3121329000000.0,49125123000000.0,12746637000000.0,36378486000000.0,35.038943072012394,50.085926209999876,35.796325810169186,8.580150916670913,728002365.0,4287.525906595098,49970.28546741053
000660,SK하이닉스,2018,2Q,2018-08-15,10370507000000.0,5573918000000.0,4328543000000.0,53257080000000.0,12479404000000.0,40777676000000.0,30.603519435487204,53.74778687290795,41.738971874759834,10.614982079900777,728002365.0,5945.781508553204,56013.109243127255
000660,SK하이닉스,2018,3Q,2018-11-15,11416788000000.0,6472420000000.0,4692193000000.0,57377252000000.0,13888426000000.0,43488826000000.0,31.935619508330714,56.692127417974305,41.09906393987521,10.789422092010485,728002365.0,6445.299116576359,59737.20428779101
000660,SK하이닉스,2018,4Q,2019-04-01,40445066000000.0,20843750000000.0,15539984000000.0,63658335000000.0,16806004000000.0,46852331000000.0,35.870155531856035,51.53595249418063,38.42244688140699,33.168006091308456,728002365.0,21346.062522750184,64357.388454363056
