날짜,종목코드,시가총액,상장주식수
2018-01-03,042660,1806495514800,105028809
2018-01-03,047050,2405815405500,123375149
2018-01-03,047810,4776280243000,97475107
2018-01-03,051900,18554418036000,15618197
2018-01-03,051910,28907564458500,70592343
2018-01-03,052690,859950000000,38220000
2018-01-03,055550,23686269370650,474199587
2018-01-03,058470,842903061000,15242370
2018-01-03,064350,1602250000000,85000000
2018-01-03,066570,17919435633000,163647814
2018-01-03,068270,30261806800800,122666424
2018-01-03,069960,2457256305000,23402441
2018-01-03,071050,3822803051200,55725992
2018-01-03,078930,5695712671400,92915378
2018-01-03,086790,15214557386800,296003062
2018-01-03,088350,6036283500000,868530000
2018-01-03,090430,18209819635000,58458490
2018-01-03,093370,960957431200,92399753
2018-01-03,096770,18724276710000,92465564
2018-01-03,097950,4888573508000,13176748
2018-01-03,105560,26382837984700,418111537
2018-01-03,111770,1398026815400,44311468
2018-01-03,120110,2251638167800,25499866
2018-01-03,128940,6765051912000,11163452
2018-01-03,138040,2143287270000,142885818
2018-01-03,139480,7247712940000,27875819
2018-01-03,161390,6689253726000,123875069
2018-01-03,185750,1307857950000,9409050
2018-01-03,207940,25870515000000,66165000
2018-01-03,214370,922823700000,10743000
2018-01-03,241560,3634032267500,100249166
2018-01-03,251270,15389775685000,85026385
2018-01-03,267250,6791519289000,16286617
2018-01-03,267260,1194076611000,10205783
2018-01-03,271560,4111484104000,39533501
2018-01-04,000100,2479002900000,11665896
2018-01-04,000150,2284562357000,19198003
2018-01-04,000270,12789213597850,405363347
2018-01-04,000660,56128982341500,728002365
2018-01-04,000720,4225951281750,111355765
2018-01-04,000810,12435894712500,47374837
2018-01-04,000990,545724333600,44367832
2018-01-04,001450,3938070000000,89400000
2018-01-04,001570,106775277500,42710111
2018-01-04,002380,4011474940000,10556513
2018-01-04,002790,11296770660000,82458180
2018-01-04,003550,15374840372100,172557131
2018-01-04,003670,2238753000000,59070000
2018-01-04,004020,7766544687000,133445785
2018-01-04,004170,2761573270500,9845181
2018-01-04,004990,5283071100000,73683000
2018-01-04,005380,32270504173500,220276479
2018-01-04,005387,3720011248500,37613865
2018-01-04,005490,32041161862500,87186835
2018-01-04,005830,4757760000000,70800000
2018-01-04,005930,329717553676000,129098494
2018-01-04,005935,38143712200000,18250580
2018-01-04,006280,2448329711000,11686538
2018-01-04,006400,14337404505000,68764530
2018-01-04,006800,6283363727440,666316408
2018-01-04,007070,3003000000000,77000000
