날짜,종목코드,종목명,종가,거래량,시가총액,PER,PBR,상장폐지일,사유
2018-03-28,000030,우리은행,14250,2482622,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-03-29,000030,우리은행,14400,1866232,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-03-30,000030,우리은행,14650,1399171,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-02,000030,우리은행,14050,3222549,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-03,000030,우리은행,13850,1880966,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-04,000030,우리은행,13700,1574452,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-05,000030,우리은행,13900,1653958,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-06,000030,우리은행,13800,1715681,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-09,000030,우리은행,13800,1352415,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-10,000030,우리은행,14250,2756384,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-11,000030,우리은행,14350,4093280,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-12,000030,우리은행,14500,3560362,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-13,000030,우리은행,15150,3570277,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-16,000030,우리은행,14950,1347495,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-17,000030,우리은행,14950,2052430,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-18,000030,우리은행,15100,1368440,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-19,000030,우리은행,15250,2078585,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-20,000030,우리은행,15300,2302415,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-23,000030,우리은행,15850,2779257,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-24,000030,우리은행,16100,2029763,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-25,000030,우리은행,15950,1800395,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-26,000030,우리은행,15950,1839292,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-27,000030,우리은행,16000,1731329,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-04-30,000030,우리은행,16050,1242179,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-02,000030,우리은행,15800,1727830,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-03,000030,우리은행,15550,1224541,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-04,000030,우리은행,15400,1873518,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-08,000030,우리은행,15450,1148035,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-09,000030,우리은행,15550,1418531,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-10,000030,우리은행,15700,1562750,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-11,000030,우리은행,15600,1140697,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-14,000030,우리은행,15650,725984,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-15,000030,우리은행,15400,801460,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-16,000030,우리은행,15650,1009355,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-17,000030,우리은행,15450,927189,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-18,000030,우리은행,15200,1169027,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-21,000030,우리은행,15750,1602338,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-23,000030,우리은행,15800,1693145,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-24,000030,우리은행,15850,1364089,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-25,000030,우리은행,15800,1304893,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-28,000030,우리은행,15550,1828433,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-29,000030,우리은행,15600,903914,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-30,000030,우리은행,15200,1891617,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-05-31,000030,우리은행,15300,2602486,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-01,000030,우리은행,15500,847627,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-04,000030,우리은행,15950,1313528,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-05,000030,우리은행,16050,1522759,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-07,000030,우리은행,16500,2426074,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-08,000030,우리은행,16600,1105848,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-11,000030,우리은행,16650,1058234,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-12,000030,우리은행,16850,1879360,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-14,000030,우리은행,16500,1712097,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-15,000030,우리은행,16100,2451378,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-18,000030,우리은행,16350,1533477,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-19,000030,우리은행,16150,1868506,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-20,000030,우리은행,17100,5823952,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-21,000030,우리은행,16300,2017007,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-22,000030,우리은행,16350,1655215,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-25,000030,우리은행,16350,1011978,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-26,000030,우리은행,16500,1518845,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-27,000030,우리은행,16100,2017171,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-28,000030,우리은행,15850,1746596,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-06-29,000030,우리은행,16300,2105607,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-02,000030,우리은행,16350,1667300,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-03,000030,우리은행,16450,1483114,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-04,000030,우리은행,16400,878523,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-05,000030,우리은행,16250,1025055,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-06,000030,우리은행,16750,2583779,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-09,000030,우리은행,17000,2624688,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-10,000030,우리은행,16600,2314977,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-11,000030,우리은행,16700,1465002,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-12,000030,우리은행,16500,1683842,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-13,000030,우리은행,16950,1435837,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-16,000030,우리은행,16650,1036566,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-17,000030,우리은행,16500,8960634,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-18,000030,우리은행,16400,1661384,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-19,000030,우리은행,16400,1332101,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-20,000030,우리은행,16500,1686443,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-23,000030,우리은행,16600,1968070,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-24,000030,우리은행,16500,1522529,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-25,000030,우리은행,16750,1999348,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-26,000030,우리은행,16700,1592905,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-27,000030,우리은행,16850,991197,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-30,000030,우리은행,16800,950217,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-07-31,000030,우리은행,16900,1297544,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-01,000030,우리은행,17150,1433235,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-02,000030,우리은행,16750,1617674,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-03,000030,우리은행,16900,1237806,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-06,000030,우리은행,16650,1861915,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-07,000030,우리은행,16300,2241052,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-08,000030,우리은행,16800,1881909,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-09,000030,우리은행,16550,1178606,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-10,000030,우리은행,16300,1490283,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-13,000030,우리은행,16100,1830432,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-14,000030,우리은행,16400,1522636,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-16,000030,우리은행,16300,1017333,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-17,000030,우리은행,16250,735656,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
2018-08-20,000030,우리은행,16250,1251060,,,,2019-02-13,지주회사(최대주주등)의 완전자회사화 등
